,level_0,index,unnamed: 0,employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,infodate,jobinvolvement,performancerating,surveydate,unnamed: 0.1,attrition,retirementdate,retirementtype,resignationreason
0,0,0,0,1,3.0,4.0,2.0,2015-12-31,51,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,Y,11,8,0,1.0,6,1,0,0,2015-12-31,3,3,2015-12-31,,,,,
1,1,1,1,2,3.0,2.0,4.0,2015-12-31,31,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Female,1,Research Scientist,Single,41890,0.0,Y,23,8,1,6.0,3,5,1,4,2015-12-31,2,4,2015-12-31,,,,,
2,2,2,2,3,2.0,2.0,1.0,2015-12-31,32,Travel_Frequently,Research & Development,17,4,Other,1,Male,4,Sales Executive,Married,193280,1.0,Y,15,8,3,5.0,2,5,0,3,2015-12-31,3,3,2015-12-31,,,,,
3,3,3,3,4,4.0,4.0,3.0,2015-12-31,38,Non-Travel,Research & Development,2,5,Life Sciences,1,Male,3,Human Resources,Married,83210,3.0,Y,11,8,3,13.0,5,8,7,5,2015-12-31,2,3,2015-12-31,,,,,
4,4,4,4,5,4.0,1.0,3.0,2015-12-31,32,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,6,0,4,2015-12-31,3,3,2015-12-31,,,,,
5,5,5,5,6,3.0,2.0,2.0,2015-12-31,46,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,4,Research Director,Married,40710,3.0,Y,13,8,0,28.0,5,7,7,7,2015-12-31,3,3,2015-12-31,,,,,
6,6,6,6,7,1.0,3.0,1.0,2015-12-31,28,Travel_Rarely,Research & Development,11,2,Medical,1,Male,2,Sales Executive,Single,58130,2.0,Y,20,8,1,5.0,2,0,0,0,2015-12-31,3,4,2015-12-31,,,,,
7,7,7,7,8,1.0,2.0,3.0,2015-12-31,29,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Sales Executive,Married,31430,2.0,Y,22,8,3,10.0,2,0,0,0,2015-12-31,3,4,2015-12-31,,,,,
8,8,8,8,9,2.0,4.0,3.0,2015-12-31,31,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0.0,Y,21,8,0,10.0,2,9,7,8,2015-12-31,3,4,2015-12-31,,,,,
9,9,9,9,10,2.0,1.0,3.0,2015-12-31,25,Non-Travel,Research & Development,7,4,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1.0,Y,13,8,1,6.0,2,6,1,5,2015-12-31,3,3,2015-12-31,,,,,
10,10,10,10,11,3.0,4.0,3.0,2015-12-31,45,Travel_Rarely,Research & Development,17,2,Medical,1,Male,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,20,4,10,2015-12-31,2,3,2015-12-31,,,,,
11,11,11,11,12,3.0,4.0,3.0,2015-12-31,36,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,15,10,11,2015-12-31,3,3,2015-12-31,,,,,
12,12,12,12,13,4.0,1.0,3.0,2015-12-31,55,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Female,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,36,4,13,2015-12-31,3,3,2015-12-31,,,,,
13,13,13,13,14,1.0,2.0,2.0,2015-12-31,47,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,2015-12-31,2,3,2015-12-31,,,,,
